,birta,litur,hljóð,bragð,lykt,áferð,vídd,stefna,staðsetning,uppruni,rúmdreifing,lögun,tilvera,tími,hraði,aldur,venja,hreyfing,eðli,ástand,jafnvægi,hamur,þroski,raki,mengun,þyngd,eðliseiginleiki,efniseiginleiki,hitastig,veður,líf,líkamsgerð,heilsa,líkamstilfinning,kyn,útlit,líkamsástand,tilfinning,örvun,gáfur,reynsla,hegðun,dýrseðli,hæfni,samband,samúð,tilhneiging,félagsstaða,stjórnmál,trú,ríki,svæði,tala,fjöldi,verð,uppskera,gildi,vissa,nauðsyn,hagnýtni,erfiði,virkni,öryggi,regla,tenging,samræmi,nákvæmni,heild,ástæða,tilvísun,gagn
tilhneiging,133,172,35,36,28,169,193,46,27,431,51,30,46,40,132,222,664,73,79,40,63,36,6,19,48,57,117,23,70,11,26,126,116,54,24,342,12,111,740,686,59,1476,173,230,318,64,639,39,194,145,415,8,38,102,142,58,387,24,78,199,106,23,150,248,22,28,111,137,208,32,40
félagsstaða,29,168,9,27,18,45,253,49,88,80,96,22,191,50,110,698,546,48,39,21,78,19,8,5,39,20,59,7,61,1,56,81,135,49,51,207,106,73,152,175,215,707,76,142,97,139,55,880,196,231,1257,58,120,237,186,58,660,18,87,29,36,28,108,92,74,73,73,128,67,20,35
stjórnmál,28,180,23,9,16,118,227,508,59,176,68,23,173,141,64,414,718,50,57,108,46,23,3,4,48,12,115,19,37,4,19,116,180,10,32,130,14,65,126,387,143,930,231,145,143,104,172,207,1850,587,1239,26,63,114,272,83,1095,39,317,132,63,12,174,392,78,69,128,133,382,51,27
trú,59,105,12,19,18,45,191,51,48,242,46,36,72,28,26,303,358,33,61,15,25,33,5,14,32,11,100,20,26,3,45,57,67,32,14,231,25,40,107,183,64,374,368,80,120,69,198,62,389,1689,2149,17,32,62,100,50,369,17,77,30,35,31,50,310,18,35,30,64,239,82,31
ríki,21,257,8,40,57,58,208,303,20,346,84,58,225,26,84,464,189,70,165,71,25,100,23,16,22,10,206,158,35,15,46,71,75,16,47,112,47,17,101,106,157,544,106,102,86,82,57,128,564,1251,22605,23,239,112,245,68,470,15,47,19,27,24,53,282,18,40,13,59,154,93,9
svæði,20,24,0,4,2,49,111,17,23,52,81,16,7,9,9,38,89,4,14,17,15,5,2,12,15,4,14,3,27,16,10,23,16,10,3,54,3,1,27,22,9,110,53,4,9,30,13,68,34,38,155,123,17,48,61,61,97,4,63,8,51,23,29,42,7,4,5,20,113,28,5
tala,117,216,27,35,26,58,3226,338,190,469,589,200,139,94,375,881,1003,38,158,64,56,41,14,26,58,30,150,43,113,14,90,290,122,43,293,453,63,50,276,1291,301,2242,93,207,81,678,62,351,320,260,2301,86,2874,343,549,75,1434,49,398,116,87,38,234,307,69,213,74,1687,81,74,39
fjöldi,423,752,75,150,141,354,4597,308,401,2245,723,225,725,277,278,4206,4983,242,330,247,204,148,54,50,283,197,465,142,232,32,356,1081,466,179,975,2413,233,407,4672,1401,1676,7573,485,1637,444,1843,406,740,1224,1100,8241,241,315,2887,2165,436,2455,242,1560,454,1024,266,507,620,214,1029,268,423,615,413,145
verð,46,252,15,35,36,132,1068,104,159,687,318,56,119,223,201,492,1275,46,300,60,131,118,28,17,109,60,280,207,118,6,123,282,170,22,41,470,41,69,646,281,227,2204,231,278,165,176,165,146,364,183,1567,80,88,283,2818,428,1431,51,626,301,609,96,652,337,136,203,117,176,563,63,101
uppskera,67,101,9,28,35,129,241,38,41,230,125,33,25,39,96,153,337,24,56,30,125,40,10,26,32,15,82,49,57,11,48,146,78,15,12,256,16,18,434,173,43,897,98,154,46,54,113,50,116,73,518,40,38,103,363,268,225,8,228,67,288,32,164,125,27,46,17,72,130,25,35
